date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:34	90820/90820	---MCZ	200	added ('OK')	text/html	etag:W/%22162c4-54ea1b201c7bd%22	http://html.iwthemes.com/allEvents/Music/index-sliderbg.html	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/index-sliderbg.html	(from )
16:42:35	290/290	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Jun%202018%2016:42:35%20GMT	http://html.iwthemes.com/robots.txt		(from )
16:42:35	22577/22577	---MCZ	200	added ('OK')	text/css	etag:W/%225831-54ea1b571f168%22	http://html.iwthemes.com/allEvents/Music/css/style.css	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/css/style.css	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:35	7166/7166	---MCZ	200	added ('OK')	text/css	etag:W/%221bfe-54ea1b56f9fb6%22	http://html.iwthemes.com/allEvents/Music/css/responsive-theme.css	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/css/responsive-theme.css	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:36	5189/5189	---M--	200	added ('OK')	image/png	etag:%221445-54ea1c0fd07df%22	http://html.iwthemes.com/allEvents/Music/img/icons/apple-touch-icon.png	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/img/icons/apple-touch-icon.png	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:36	13454/13454	---M--	200	added ('OK')	image/x-icon	etag:%22348e-54ea1c1037062%22	http://html.iwthemes.com/allEvents/Music/img/icons/favicon.ico	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/img/icons/favicon.ico	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:36	6429/6429	---M--	200	added ('OK')	image/png	etag:%22191d-54ea1c0fc9a80%22	http://html.iwthemes.com/allEvents/Music/img/icons/apple-touch-icon-72x72.png	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/img/icons/apple-touch-icon-72x72.png	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:37	13258/13258	---MCZ	200	added ('OK')	application/javascript	etag:W/%2233ca-54ea1c3b7b74b%22	http://html.iwthemes.com/allEvents/Music/js/modernizr/modernizr.js	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/js/modernizr/modernizr.js	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:38	90820/90820	---MCZ	200	added ('OK')	text/html	etag:W/%22162c4-54ea1b201c7bd%22	http://html.iwthemes.com/allEvents/Music/index-sliderbg.html?theme=green	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/index-sliderbgaf91.html	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
16:42:38	90820/90820	---MCZ	200	added ('OK')	text/html	etag:W/%22162c4-54ea1b201c7bd%22	http://html.iwthemes.com/allEvents/Music/index-sliderbg.html?theme=cyan	C:/Users/Aman%20Agarwal/Desktop/1st%20page/html.iwthemes.com/allEvents/Music/index-sliderbgab3c.html	(from http://html.iwthemes.com/allEvents/Music/index-sliderbg.html)
